IID RAW_PRS PRS
caseindv26 -1.584953 -0.270642371
caseindv27 -2.093926 -0.58214369
caseindv28 -5.3420816 -0.34704933
caseindv29 -3.538592 -0.3252775
caseindv30 1.864958 -0.6708159
caseindv31 -5.115101 -0.1579454
caseindv32 -2.997247 -0.26211776
caseindv33 -1.35275 -0.48025536
caseindv34 -0.6488 -0.4494916
caseindv35 -3.331161 -0.25574836
caseindv36 -2.808779 -0.2636354
caseindv37 -3.210239 -0.09557514
caseindv38 2.57818 -0.45406002
caseindv39 2.43222743 -0.7714398
caseindv40 -0.208641 -0.5668466
caseindv41 0.3405703 -0.2531864
caseindv42 -8.691364 -0.17130597
caseindv43 -3.732135 -0.4129878
caseindv44 -0.0796030000000005 -0.3943809
caseindv45 -2.936553 -0.5083906
caseindv46 1.557572 -0.491900642
caseindv47 -3.616255 -0.4295579
caseindv48 -2.5994451 -0.4360209
caseindv49 -0.870420000000001 -0.3052139
caseindv50 -6.081939 -0.3204965
caseindv51 -0.571241000000001 -0.6235498
caseindv52 3.211909 -0.8575549
caseindv53 2.69685671 -0.5344013
caseindv54 0.816567 -0.4327022
caseindv55 -6.53194077 -0.08791542
caseindv56 0.750671 -0.231147441
caseindv57 -0.560386 -0.19191228
caseindv58 2.21485 -0.402327517
caseindv59 1.678417 -0.7462589
caseindv60 -7.660395 -0.24535791
caseindv61 -5.5521679 -0.62335639
caseindv62 -5.948741 -0.44596755
caseindv63 -1.757022 -0.1931348
caseindv64 -9.6691757 -0.2262922
caseindv65 3.628246 -0.4511428
caseindv66 4.966707 -0.465562
caseindv67 0.00640000000000018 -0.5842793
caseindv68 0.366766899999999 -0.15798271
caseindv69 -1.3557392 -0.032281
caseindv70 -1.397787 -0.552787412
caseindv71 -3.273673 -0.2144017
caseindv72 2.141095 -0.612803631
caseindv73 -5.95592532 -0.2916495
caseindv74 0.44365 -0.304376
caseindv75 -5.437134 -0.11945819
caseindv76 -5.977385 -0.113492724
caseindv77 0.266094 -0.451222674
caseindv78 2.559829 -0.61215581
caseindv79 1.001324 -0.5405094
caseindv80 -1.038117 -0.42050886
caseindv81 3.273982 -0.6762913
caseindv82 4.677036 -0.4444829
caseindv83 -10.180553 0.05484254
caseindv84 -1.06983964 -0.43318905
caseindv85 -4.562372 -0.22527351
caseindv86 -2.262156 -0.39210295
caseindv87 -3.971587 -0.54246748
caseindv88 5.910607 -0.51559063
caseindv89 -3.299311 0.02143201
caseindv90 -8.9502893 -0.2287372
caseindv91 0.4790771 -0.384099
caseindv92 -9.482189 0.02366594
caseindv93 -2.3818188 -0.1712479
caseindv94 0.8523646 -0.55196337
caseindv95 -3.6766957 -0.4160675
caseindv96 -5.70562115 -0.4229076
caseindv97 -2.896863 -0.0824681
caseindv98 1.845435 -0.6299618
caseindv99 -1.471089 -0.5089003
caseindv100 3.3950973 -0.51661038
caseindv101 -5.3976169 -0.05078718
caseindv102 0.878074100000001 -0.241024
caseindv103 -6.7280354 -0.16681956
caseindv104 -6.340697 -0.418477
caseindv105 6.501106 -0.92891765
caseindv106 3.3558143 -0.7932802
caseindv107 -6.503681 -0.3335026
caseindv108 -3.027623 -0.36565327
caseindv109 -3.4432329 -0.2285487
caseindv110 -5.080261 -0.225712
caseindv111 2.391288 -0.77320024
caseindv112 2.136008 -0.57564413
caseindv113 6.014309 -0.77413771
caseindv114 -2.711908 -0.4048896
caseindv115 3.485873 -0.14981516
caseindv116 -5.2425869 -0.1902969
caseindv117 4.039285 -0.6221252
