FID IID PRS
casefamid13 caseindv13 -0.3838803
casefamid14 caseindv14 0.24797267
casefamid15 caseindv15 -0.46071306
casefamid16 caseindv16 -0.411495
casefamid17 caseindv17 -0.282899
casefamid18 caseindv18 0.00275583
casefamid19 caseindv19 -0.42296382
casefamid20 caseindv20 0.0261965
casefamid21 caseindv21 -0.2656957
casefamid22 caseindv22 -0.4886643
casefamid23 caseindv23 -0.29431792
casefamid24 caseindv24 -0.24235
casefamid25 caseindv25 -0.5931713
casefamid26 caseindv26 -0.270642371
casefamid27 caseindv27 -0.58214369
casefamid28 caseindv28 -0.34704933
casefamid29 caseindv29 -0.3252775
casefamid30 caseindv30 -0.6708159
casefamid31 caseindv31 -0.1579454
casefamid32 caseindv32 -0.26211776
casefamid33 caseindv33 -0.48025536
casefamid34 caseindv34 -0.4494916
casefamid35 caseindv35 -0.25574836
casefamid36 caseindv36 -0.2636354
casefamid37 caseindv37 -0.09557514
casefamid38 caseindv38 -0.45406002
casefamid39 caseindv39 -0.7714398
casefamid40 caseindv40 -0.5668466
casefamid41 caseindv41 -0.2531864
casefamid42 caseindv42 -0.17130597
casefamid43 caseindv43 -0.4129878
casefamid44 caseindv44 -0.3943809
casefamid45 caseindv45 -0.5083906
casefamid46 caseindv46 -0.491900642
casefamid47 caseindv47 -0.4295579
casefamid48 caseindv48 -0.4360209
casefamid49 caseindv49 -0.3052139
casefamid50 caseindv50 -0.3204965
casefamid51 caseindv51 -0.6235498
casefamid52 caseindv52 -0.8575549
casefamid53 caseindv53 -0.5344013
casefamid54 caseindv54 -0.4327022
casefamid55 caseindv55 -0.08791542
casefamid56 caseindv56 -0.231147441
casefamid57 caseindv57 -0.19191228
casefamid58 caseindv58 -0.402327517
casefamid59 caseindv59 -0.7462589
casefamid60 caseindv60 -0.24535791
casefamid61 caseindv61 -0.62335639
casefamid62 caseindv62 -0.44596755
casefamid63 caseindv63 -0.1931348
casefamid64 caseindv64 -0.2262922
casefamid65 caseindv65 -0.4511428
casefamid66 caseindv66 -0.465562
casefamid67 caseindv67 -0.5842793
casefamid68 caseindv68 -0.15798271
casefamid69 caseindv69 -0.032281
casefamid70 caseindv70 -0.552787412
casefamid71 caseindv71 -0.2144017
casefamid72 caseindv72 -0.612803631
casefamid73 caseindv73 -0.2916495
casefamid74 caseindv74 -0.304376
casefamid75 caseindv75 -0.11945819
casefamid76 caseindv76 -0.113492724
casefamid77 caseindv77 -0.451222674
casefamid78 caseindv78 -0.61215581
casefamid79 caseindv79 -0.5405094
casefamid80 caseindv80 -0.42050886
casefamid81 caseindv81 -0.6762913
casefamid82 caseindv82 -0.4444829
casefamid83 caseindv83 0.05484254
casefamid84 caseindv84 -0.43318905
