Category,Trait,Broad H2,SE broad,Narrow h2,SE narrow,Var Age (%),Var Gender (%),N SNPs,% of phenotypic variance explained,% of heritability explained
T cell maturation stages,CD45RA- CD28- CD8br AC,0.569,0.133,0.414,0.079,2.2,0.3,1,4.28,10.34
T cell maturation stages,CD45RA- CD28- CD8br %P,0.803,0.127,0.512,0.079,0,0.1,2,16.1,31.43
T cell maturation stages,CD45RA- CD28- CD8br %GP,0.523,0.125,0.455,0.078,11.4,0.1,1,6.74,14.81
T cell maturation stages,CD45RA+ CD28- CD8br AC,0.403,0.108,0.403,0.078,2.4,0.6,-,-,-
T cell maturation stages,CD45RA+ CD28- CD8br %P,0.803,0.127,0.512,0.079,0,0.1,2,16.1,31.43
T cell maturation stages,CD45RA+ CD28- CD8br %GP,0.417,0.11,0.417,0.078,11.2,0.4,1,2.99,7.16
T cell maturation stages,naive CD8dim AC,0.623,0.145,0.254,0.08,20.7,1.5,-,-,-
T cell maturation stages,naive CD8dim %P,0.555,0.136,0.299,0.079,9.9,1,-,-,-
T cell maturation stages,naive CD8dim %GP,0.379,0.105,0.379,0.077,11.2,0.9,-,-,-
T cell maturation stages,CM CD8dim AC,0.372,0.11,0.117,0.077,0.2,0,-,-,-
T cell maturation stages,CM CD8dim %P,0.264,0.089,0.236,0.077,0.5,0,-,-,-
T cell maturation stages,CM CD8dim %GP,0.799,0.128,0.492,0.079,0,0,-,-,-
T cell maturation stages,EM CD8dim AC,0.639,0.145,0.296,0.08,9.7,0.7,-,-,-
T cell maturation stages,EM CD8dim %P,0.506,0.126,0.37,0.078,5,0.8,1,3.28,8.86
T cell maturation stages,EM CD8dim %GP,0.779,0.139,0.271,0.079,5.9,0.5,-,-,-
T cell maturation stages,TD CD8dim AC,0.488,0.13,0.171,0.079,0,0.1,-,-,-
T cell maturation stages,TD CD8dim %P,0.511,0.13,0.282,0.079,6.7,0.8,1,3.65,12.94
T cell maturation stages,TD CD8dim %GP,0.697,0.148,0.209,0.079,0.8,0.3,-,-,-
T cell maturation stages,CD45RA- CD8dim AC,0.645,0.145,0.295,0.08,9.5,0.6,-,-,-
T cell maturation stages,CD45RA- CD8dim %P,0.495,0.124,0.373,0.078,4,0.7,1,3.37,9.05
T cell maturation stages,CD45RA- CD8dim %GP,0.779,0.138,0.291,0.079,5.6,0.5,-,-,-
T cell maturation stages,CD45RA- CD28- CD8dim AC,0.65,0.146,0.278,0.08,1.7,0,-,-,-
T cell maturation stages,CD45RA- CD28- CD8dim %P,0.668,0.147,0.267,0.08,0,0.1,1,3.15,11.82
T cell maturation stages,CD45RA+ CD28- CD8dim AC,0.361,0.106,0.209,0.078,0.5,0.4,-,-,-
T cell maturation stages,CD45RA+ CD28- CD8dim %P,0.48,0.125,0.303,0.079,9,0.8,1,1.81,5.97
T cell maturation stages,CD45RA+ CD28- CD8dim %GP,0.606,0.142,0.26,0.079,2.1,0.5,-,-,-
T cell maturation stages,naive CD8+ AC,0.454,0.115,0.454,0.078,54.3,0.5,-,-,-
T cell maturation stages,naive CD8+ %P,0.676,0.141,0.414,0.079,45.5,1.2,-,-,-
T cell maturation stages,naive CD8+ %GP,0.485,0.117,0.485,0.077,55,0.4,-,-,-
T cell maturation stages,CM CD8+ AC,0.363,0.103,0.363,0.078,0.4,0.4,-,-,-
T cell maturation stages,CM CD8+ %P,0.339,0.099,0.339,0.077,1.6,0.1,-,-,-
T cell maturation stages,CM CD8+ %GP,0.387,0.106,0.387,0.077,0.5,0.8,-,-,-
